id_case,id_progen,links,t_diff_median_days,dist_diff_meters,prob,scenario
58,56,648,30,7859.83499327574,0.648,6
62,43,681,130,8074.48804745542,0.681,6
61,62,1000,8,1624.4982424513,1,6
63,56,446,67,12172.1858431349,0.446,6
65,63,933,18,6914.54028621631,0.933,6
45,75,802,14,1630.62530618146,0.802,6
46,14,533,7,670.113729203393,0.533,6
1,4,693,26,14583.9348128824,0.693,6
29,22,221,7,11819.2800800589,0.221,6
40,37,407,25,1955.70690545343,0.407,6
41,37,300,23,8000.25224150836,0.3,6
53,48,775,30,2039.09884286462,0.775,6
75,3,387,24,4707.9858863853,0.387,6
9,,1000,,,1,7
4,9,1000,17,0,1,7
3,1,980,6,0,0.98,7
15,5,772,18,0,0.772,7
10,2,958,29,2411.97395529211,0.958,7
13,3,514,40,0,0.514,7
16,10,883,21,0,0.883,7
17,15,396,33,0,0.396,7
20,23,895,10,0,0.895,7
22,16,623,28,0,0.623,7
23,13,704,13,1893.50318128421,0.704,7
28,75,490,59,0,0.49,7
33,20,562,25,0,0.562,7
35,34,507,2,1241.94210276506,0.507,7
37,21,954,30,2193.55162714132,0.954,7
39,35,434,9,1984.31854577717,0.434,7
38,34,350,14,4545.81426775876,0.35,7
42,38,152,22,18963.2064930177,0.152,7
43,42,961,8,4677.23007578044,0.961,7
44,41,405,23,4299.34607887807,0.405,7
48,41,449,58,2445.1682977298,0.449,7
59,53,507,9,4817.32916290832,0.507,7
56,53,588,12,12723.7144807407,0.588,7
58,56,538,30,8521.82323949562,0.538,7
62,43,626,130,9003.42045404616,0.626,7
61,62,1000,8,0,1,7
63,56,541,67,10913.3403803167,0.541,7
65,63,927,18,6281.18404371179,0.927,7
46,14,714,7,0,0.714,7
40,21,458,55,0,0.458,7
41,22,205,53,4817.32916290832,0.205,7
53,41,474,88,0,0.474,7
1,4,691,26,14521.9696089041,0.691,7
30,17,395,40,1241.94210276506,0.395,7
31,17,312,23,5012.23495375645,0.312,7
18,16,661,17,2817.93651238023,0.661,7
6,4,600,38,2535.71856193369,0.6,7
5,1,464,11,10528.1831983032,0.464,7
75,3,349,24,4820.3580457572,0.349,7
14,,851,,,0.851,7
21,14,501,36,31360.4866306737,0.501,7
45,,998,,,0.998,7
2,,978,,,0.978,7
34,14,447,65,1159.93288674326,0.447,7
29,,884,,,0.884,7
7,5,789,17,0,0.789,7
9,,1000,,,1,8
4,9,1000,17,1580.67587574154,1,8
6,4,547,38,2506.0816613558,0.547,8
10,2,941,29,2300.19616941553,0.941,8
13,3,404,40,913.769717279473,0.404,8
20,23,716,10,1076.59735791133,0.716,8
18,16,645,17,2518.61225900434,0.645,8
33,20,375,25,865.310476863366,0.375,8
31,17,350,23,4832.49363739782,0.35,8
35,34,459,2,1234.03100945675,0.459,8
39,35,383,9,2162.14631995007,0.383,8
38,34,297,14,3850.27795489856,0.297,8
42,38,117,22,19299.633164151,0.117,8
43,42,958,8,5376.50634169344,0.958,8
44,40,389,23,5289.10871566006,0.389,8
48,41,535,57,1745.58408669712,0.535,8
59,53,487,9,5585.07616560382,0.487,8
56,53,517,12,13769.4444191574,0.517,8
58,56,622,30,7744.4860284374,0.622,8
62,43,687,130,8219.27021311259,0.687,8
61,62,999,8,1668.82647722391,0.999,8
63,56,441,67,12224.9072139349,0.441,8
65,63,940,18,6994.39259767903,0.94,8
46,14,449,7,651.482698124109,0.449,8
1,4,702,26,14641.8583199797,0.702,8
40,37,400,25,2097.89761984774,0.4,8
41,37,266,23,7962.78022821283,0.266,8
53,48,763,30,2033.97883435887,0.763,8
21,14,638,36,31222.5458450363,0.638,8
17,46,300,12,1121.2359333219,0.3,8
15,5,756,18,640.818352478506,0.756,8
5,1,458,11,11520.7358345252,0.458,8
30,17,393,40,1138.88058749429,0.393,8
7,5,783,17,640.81161021834,0.783,8
34,14,550,65,1293.48369765664,0.55,8
37,21,947,30,2265.9451543032,0.947,8
22,16,408,28,923.72083696384,0.408,8
29,,912,,,0.912,8
