"Sample.ID","X","Region","Province","year","country","assignment","NCBI.accession","Sample.collection.date","Host.species","Municipality","Barangay","Location","source","corrected_date","decimal_date","outbreak","id_case","membership","lineage","lineage_chain","maddog"
"4B-21-310",NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"10/03/2021","Canis familiaris",NA,"Tabinay","Puerto Galera","this paper","10/03/2021",2021.753425,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-21-35",NA,"Southwestern Tagalog Region","Oriental Mindoro",2021,"Philippines","SEA4",NA,"05/03/2021","Canis familiaris",NA,"Tabinay","Puerto Galera","this paper","05/03/2021",2021.334247,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-21-412",NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"12/04/2021","Canis familiaris",NA,"Sto Nino","Puerto Galera","this paper","12/04/2021",2021.923288,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-21-421",NA,"Southwestern Tagalog Region","Oriental Mindoro",2021,"Philippines","SEA4",NA,"14/04/2021","Canis familiaris",NA,"Malapad","Baco","this paper","4/14/21",2021.282192,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-21-423",NA,"Southwestern Tagalog Region","Oriental Mindoro",2021,"Philippines","SEA4",NA,"23/04/2021","Canis familiaris",NA,"Camilmil","Calapan","this paper","4/23/21",2021.306849,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-21-528",NA,"Southwestern Tagalog Region","Oriental Mindoro",2021,"Philippines","SEA4",NA,"28/05/2021","Canis familiaris",NA,"Aninuan","Puerto Galera","this paper","5/28/21",2021.40274,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-21622",NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"16/02/2022","Canis familiaris",NA,"Mangangan","Baco","this paper","2/16/22",2022.126027,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-22-114",NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"14/01/2022","Canis familiaris",NA,"Mayabig","Baco","this paper","1/14/22",2022.035616,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-22-13",NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"22/04/2022","Canis familiaris",NA,"Teresita","Mansalay","this paper","4/22/22",2022.30411,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-22-15",NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"05/01/2022","Canis familiaris",NA,"San Isidro","Puerto Galera","this paper","05/01/2022",2022.328767,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-22-16",NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"28/04/2022","Canis familiaris",NA,"Orcenuma","Bongabong","this paper","4/28/22",2022.320548,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-22-17",NA,"Southwestern Tagalog Region","Oriental Mindoro",2023,"Philippines","SEA4",NA,"08/05/2022","Canis familiaris",NA,"Narra","Gloria","this paper","08/05/2022",2022.591781,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-22-20",NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"19/05/2022","Canis familiaris",NA,"Don Pedro","Mansalay","this paper","5/19/22",2022.378082,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-22-21",NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"31/05/2022","Canis familiaris",NA,"Panggulayan","Pinamalayan","this paper","5/31/22",2022.410959,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-22-28",NA,"Southwestern Tagalog Region","Oriental Mindoro",2023,"Philippines","SEA4",NA,"27/07/2022","Canis familiaris",NA,"Mangangan","Baco","this paper","7/27/22",2022.567123,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-22-30",NA,"Southwestern Tagalog Region","Oriental Mindoro",2023,"Philippines","SEA4",NA,"12/08/2022","Canis familiaris",NA,"Bangkatan","Baco","this paper","12/08/2022",2022.934247,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-22-31",NA,"Southwestern Tagalog Region","Oriental Mindoro",2023,"Philippines","SEA4",NA,"18/08/2022","Canis familiaris",NA,"Bayanan","Pola","this paper","8/18/22",2022.627397,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-22-35",NA,"Southwestern Tagalog Region","Oriental Mindoro",2023,"Philippines","SEA4",NA,"25/10/2022","Canis familiaris",NA,"Bagumbayan","Roxas","this paper","10/25/22",2022.813699,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-22-37",NA,"Southwestern Tagalog Region","Romblon",2022,"Philippines","SEA4",NA,"01/10/2022","Canis familiaris",NA,"San Isidro","Alcantara","this paper","01/10/2022",2022.024658,"Romblon_new","9",1,1,"chain1","Asian SEA4_E1.1"
"4B-22-39",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"21/10/2022","Canis familiaris",NA,"San Isidro","Alcantara","this paper","10/21/22",2022.80274,"Romblon_new","4",1,1,"chain1","Asian SEA4_E1.1"
"4B-22-40",NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"02/12/2022","Canis familiaris",NA,"Balugo","Mansalay","this paper","02/12/2022",2022.115068,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-22-41",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"24/11/2022","Canis familiaris",NA,"Dapawan","Odiongan","this paper","11/24/22",2022.89589,"Romblon_new","5",3,1,"chain1","Asian SEA4_E1.1"
"4B-22-42",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"26/11/2022","Canis familiaris",NA,"Bonlao","Alcantara","this paper","11/26/22",2022.90137,"Romblon_new","6",1,1,"chain1","Asian SEA4_E1.1"
"4B-22-44",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"11/12/2022","Canis familiaris",NA,"Dapawan","Odiongan","this paper","11/12/2022",2022.863014,"Romblon_new","15",3,1,"chain1","Asian SEA4_E1.1"
"4B-22-45",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"12/12/2022","Canis familiaris",NA,"Concepcion Sur","Santa Maria","this paper","12/12/2022",2022.945205,"Romblon_new","75",3,1,"chain1","Asian SEA4_E1.1"
"4B-23-01",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"20/01/2023","Canis familiaris",NA,"Concepcion Norte","Santa Maria","this paper","1/20/23",2023.052055,"Romblon_new","20",3,1,"chain1","Asian SEA4_E1.1"
"4B-23-02",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"13/01/2023","Canis familiaris",NA,"Dapawan","Odiongan","this paper","1/13/23",2023.032877,"Romblon_new","17",3,1,"chain1","Asian SEA4_E1.1"
"4B-23-03",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"22/01/2023","Canis familiaris",NA,"Sugod","San Agustin","this paper","1/22/23",2023.057534,"Romblon_new","18",2,3,"chain3","Asian SEA4_A1.1"
"4B-23-04",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"31/01/2023","Canis familiaris",NA,"Carmen","San Agustin","this paper","1/31/23",2023.082192,"Romblon_new","22",2,3,"chain3","Asian SEA4_A1.1"
"4B-23-05",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"20/01/2023","Canis familiaris",NA,"Sugod","San Agustin","this paper","1/20/23",2023.052055,"Romblon_new","21",5,5,"chain5","Asian SEA4_E1"
"4B-23-06",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"02/02/2023","Canis familiaris",NA,"Concepcion Norte","Santa Maria","this paper","02/02/2023",2023.087671,"Romblon_new","23",3,1,"chain1","Asian SEA4_E1.1"
"4B-23-07",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"07/02/2023","Canis familiaris",NA,"Concepcion Sur","Santa Maria","this paper","07/02/2023",2023.49863,"Romblon_new","28",3,1,"chain1","Asian SEA4_E1"
"4B-23-11",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"07/02/2023","Canis familiaris",NA,"Jun Carlo","San Andres","this paper","07/02/2023",2023.49863,"Romblon_new","29",7,4,"chain4","Asian SEA4_E1"
"4B-23-12",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"14/02/2023","Canis familiaris",NA,"Concepcion Norte","Santa Maria","this paper","2/14/23",2023.120548,"Romblon_new","33",3,1,"chain1","Asian SEA4_E1.1"
"4B-23-13",NA,"Southwestern Tagalog Region","Romblon",2024,"Philippines","SEA4",NA,"09/02/2023","Canis familiaris",NA,"Rizal","Odiongan","this paper","09/02/2023",2023.668493,"Romblon_new","31",3,1,"chain1","Asian SEA4_E1.1"
"4B-23-15",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"16/02/2023","Canis familiaris",NA,"Poctoy","Odiongan","this paper","2/16/23",2023.126027,"Romblon_new","30",3,1,"chain1","Asian SEA4_E1.1"
"4B-23-16",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"28/02/2023","Canis familiaris",NA,"Dapawan","Odiongan","this paper","2/28/23",2023.158904,"Romblon_new","34",4,5,"chain5","Asian SEA4_E1"
"4B-23-17",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"01/03/2023","Canis familiaris",NA,"Poctoy","Odiongan","this paper","01/03/2023",2023.005479,"Romblon_new","35",4,5,"chain5","Asian SEA4_E1"
"4B-23-19",NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"01/03/2023","Canis familiaris",NA,"Mahabang Baybay","San Agustin","this paper","01/03/2023",2023.005479,"Romblon_new","37",5,5,"chain5","Asian SEA4_E1"
"4B-2422",NA,"Southwestern Tagalog Region","Occidental Mindoro",2022,"Philippines","SEA4",NA,"04/02/2022","Canis familiaris",NA,"Concepcion","Calintaan","this paper","04/02/2022",2022.249315,"Occidental Mindoro_new",NA,NA,NA,NA,NA
"4B-2922HM",NA,"Southwestern Tagalog Region","Oriental Mindoro",2023,"Philippines","SEA4",NA,"09/02/2022","Canis familiaris",NA,"Mangangan","Baco","this paper","09/02/2022",2022.668493,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-2922JG",NA,"Southwestern Tagalog Region","Oriental Mindoro",2023,"Philippines","SEA4",NA,"09/02/2022","Canis familiaris",NA,"Anilao","Bongabong","this paper","09/02/2022",2022.668493,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"55",NA,"Ilocos Region","Pampanga",2019,"Philippines","SEA4","LC550027","2019","Canis lupus familiaris",NA,NA,"Region III, Pampanga","rabv-glue","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
"66",NA,"Ilocos Region","Pampanga",2019,"Philippines","SEA4","LC550026","2019","Canis lupus familiaris",NA,NA,"Region III, Pampanga","rabv-glue","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
"87",NA,"Ilocos Region","Pampanga",2019,"Philippines","SEA4","LC550025","2019","Canis lupus familiaris",NA,NA,"Region III, Pampanga","rabv-glue","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
