Sample.ID,,Region,Province,year,country,assignment,NCBI.accession,Sample.collection.date,Host.species,Municipality,Barangay,Location,source,corrected_date,decimal_date,outbreak
RV/R1.PHL/2009/TRa-210,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563983,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-213,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563984,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-214,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563985,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-215,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563986,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-216,,Ilocos Region,La Union,2009,Philippines,SEA4,AB563987,2009,Canis lupus familiaris,NA,NA,"Region1, Launion",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-218,,Ilocos Region,La Union,2009,Philippines,SEA4,AB563988,2009,Canis lupus familiaris,NA,NA,"Region1, Launion",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-219,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563989,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-220,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563990,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-221,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563991,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-233,,Ilocos Region,Ilocos Sur,2009,Philippines,SEA4,AB563999,2009,Canis lupus familiaris,NA,NA,"Region1, Ilocos Sur",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-256,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB733964,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-257,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB733965,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-258,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB733966,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-259,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB733967,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-260,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB733968,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-262,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB771911,2009,Canis lupus familiaris,NA,NA,"Regoin 1,Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-263,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB733969,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-265,,Ilocos Region,Ilocos Sur,2009,Philippines,SEA4,AB733970,2009,Canis lupus familiaris,NA,NA,"Region1, Ilocos Sur",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-266,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB771912,2009,Canis lupus familiaris,NA,NA,"Regoin 1,Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-267,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB771913,2009,Canis lupus familiaris,NA,NA,"Regoin 1,Pangasinan",rabv-glue,01/01/2009,2009,Other
