Sample.ID,Region,Province
RV/R10.PHL/2008/TRa-014,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2008/TRa-024,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2008/TRa-025,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2008/TRa-026,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2008/TRa-027,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2008/TRa-028,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2008/TRa-030,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2008/TRa-052,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2008/TRa-053,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2008/TRa-054,Northern Mindanao,Lanao del Norte
RV/R10.PHL/2008/TRa-055,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2008/TRa-056,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2008/TRa-057,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2008/TRa-058,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2008/TRa-104,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2008/TRa-107,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2008/TRa-108,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-109,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-110,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-184,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-186,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-189,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-191,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-194,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-195,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-196,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-197,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-242,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-243,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-244,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-246,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-247,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-248,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-249,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-250,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-251,Northern Mindanao,Lanao del Norte
RV/R10.PHL/2009/TRa-252,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-253,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-254,Northern Mindanao,Misamis Oriental
RV/R10.PHL/2009/TRa-255,Northern Mindanao,Misamis Oriental
RV/R11.PHL/2005/Z-05-186,Davao Region,Davao del Sur
RV/R2.PHL/2009/TRa-142,Cagayan Valley,Cagayan
RV/R2.PHL/2009/TRa-279,Cagayan Valley,Isabela
RV/R2.PHL/2009/TRa-283,Cagayan Valley,Isabela
RV/R2.PHL/2009/TRa-284,Cagayan Valley,Isabela
RV/R2.PHL/2013/TRa-435,Ilocos Region,Cagayan
RV/R2.PHL/2013/TRa-437,Ilocos Region,Nueva Vizcaya
RV/R2.PHL/2013/TRa-439,Ilocos Region,Cagayan
RV/R2.PHL/2013/TRa-503,Ilocos Region,Nueva Vizcaya
RV/R2.PHL/2013/TRa-504,Ilocos Region,Nueva Vizcaya
RV/R2.PHL/2013/TRa-505,Ilocos Region,Isabela
RV/R2.PHL/2013/TRa-506,Ilocos Region,Cagayan
